"Rank","LeadSponsorName","Condition"
227,"Maimónides Biomedical Research Institute of Córdoba","Multiple Sclerosis"
228,"University of Erlangen-Nürnberg","Multiple Sclerosis"
229,"Biocad","Multiple Sclerosis"
230,"Johns Hopkins University","Multiple Sclerosis"
231,"University College, London","Multiple Sclerosis"
232,"University Hospital, Basel, Switzerland","Multiple Sclerosis"
233,"University of California, San Francisco","Multiple Sclerosis"
234,"Unity Health Toronto","Multiple Sclerosis"
235,"Fondazione Don Carlo Gnocchi Onlus","Multiple Sclerosis"
236,"University of Iowa","Multiple Sclerosis"
237,"University of Cagliari","Multiple Sclerosis"
238,"University of Cagliari","Multiple Sclerosis"
239,"University of Saskatchewan","Multiple Sclerosis"
240,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
241,"Nottingham University Hospitals NHS Trust","Multiple Sclerosis"
242,"Banner Life Sciences LLC","Multiple Sclerosis"
243,"University of Iowa","Multiple Sclerosis"
244,"Fondazione Don Carlo Gnocchi Onlus","Multiple Sclerosis"
245,"Holy Name Medical Center, Inc.","Multiple Sclerosis"
246,"University of Novi Sad, Faculty of Sport and Physical Education","Multiple Sclerosis"
247,"Kessler Foundation","Multiple Sclerosis"
248,"Brigham and Women's Hospital","Multiple Sclerosis"
249,"Centre Hospitalier Universitaire de Nīmes","Multiple Sclerosis"
250,"Multiple Sclerosis Center of Catalonia","Multiple Sclerosis"
251,"Assistance Publique Hopitaux De Marseille","Multiple Sclerosis"
252,"Universitätsklinikum Hamburg-Eppendorf","Multiple Sclerosis"
253,"Sheffield Teaching Hospitals NHS Foundation Trust","Multiple Sclerosis"
254,"Rutgers, The State University of New Jersey","Multiple Sclerosis"
255,"Shepherd Center, Atlanta GA","Multiple Sclerosis"
256,"Cardiff University","Multiple Sclerosis"
257,"University of Ottawa","Multiple Sclerosis"
258,"University of Ottawa","Multiple Sclerosis"
259,"Johns Hopkins University","Multiple Sclerosis"
260,"EMD Serono Research & Development Institute, Inc.","Multiple Sclerosis"
261,"EMD Serono Research & Development Institute, Inc.","Multiple Sclerosis"
262,"Hasselt University","Multiple Sclerosis"
263,"Centre Hospitalier Universitaire de Besancon","Multiple Sclerosis"
264,"Ege University","Multiple Sclerosis"
265,"Biogen","Multiple Sclerosis"
266,"University at Buffalo","Multiple Sclerosis"
267,"Hasselt University","Multiple Sclerosis"
268,"Rennes University Hospital","Multiple Sclerosis"
269,"Association Francaise pour la Recherche Thermale","Multiple Sclerosis"
270,"University of Aarhus","Multiple Sclerosis"
271,"Assiut University","Multiple Sclerosis"
272,"University of Missouri, Kansas City","Multiple Sclerosis"
273,"S. Andrea Hospital","Multiple Sclerosis"
274,"University of Salamanca","Multiple Sclerosis"
275,"Cook, Stuart, MD","Multiple Sclerosis"
276,"Dokuz Eylul University","Multiple Sclerosis"
277,"Dokuz Eylul University","Multiple Sclerosis"
278,"Johns Hopkins University","Multiple Sclerosis"
279,"University of Iowa","Multiple Sclerosis"
280,"Hasselt University","Multiple Sclerosis"
281,"Universidad Católica San Antonio de Murcia","Multiple Sclerosis"
282,"University Hospital, Bordeaux","Multiple Sclerosis"
283,"Johns Hopkins University","Multiple Sclerosis"
284,"Imperial College London","Multiple Sclerosis"
285,"University of Southern Denmark","Multiple Sclerosis"
286,"University Hospital, Basel, Switzerland","Multiple Sclerosis"
287,"NYU Langone Health","Multiple Sclerosis"
288,"Columbia University","Multiple Sclerosis"
289,"Dartmouth-Hitchcock Medical Center","Multiple Sclerosis"
290,"Universita di Verona","Multiple Sclerosis"
291,"Columbia University","Multiple Sclerosis"
292,"Tisch Multiple Sclerosis Research Center of New York","Multiple Sclerosis"
293,"University of Alabama at Birmingham","Multiple Sclerosis"
294,"Bayer","Multiple Sclerosis"
295,"University of Aarhus","Multiple Sclerosis"
296,"Prof. Dr. Cemil Tascıoglu Education and Research Hospital Organization","Multiple Sclerosis"
297,"Northern Illinois University","Multiple Sclerosis"
298,"Hasselt University","Multiple Sclerosis"
299,"Sultan Abdulhamid Han Training and Research Hospital, Istanbul, Turkey","Multiple Sclerosis"
300,"National MS Center Melsbroek","Multiple Sclerosis"
301,"University Hospital, Lille","Multiple Sclerosis"
302,"University Hospital, Lille","Multiple Sclerosis"
303,"University of British Columbia","Multiple Sclerosis"
304,"Genzyme, a Sanofi Company","Multiple Sclerosis"
305,"Hospital Italiano de Buenos Aires","Multiple Sclerosis"
306,"University of Kansas Medical Center","Multiple Sclerosis"
307,"University of Washington","Multiple Sclerosis"
308,"Aksaray University Training and Research Hospital","Multiple Sclerosis"
309,"Genzyme, a Sanofi Company","Multiple Sclerosis"
310,"Sanko University","Multiple Sclerosis"
311,"Lille Catholic University","Multiple Sclerosis"
312,"Chiara Zecca","Multiple Sclerosis"
313,"University of New Mexico","Multiple Sclerosis"
314,"University of Erlangen-Nürnberg","Multiple Sclerosis"
315,"Rennes University Hospital","Multiple Sclerosis"
316,"Fundación Universidad Católica de Valencia San Vicente Mártir","Multiple Sclerosis"
317,"City, University of London","Multiple Sclerosis"
318,"Thomas Jefferson University","Multiple Sclerosis"
319,"Neuromed IRCCS","Multiple Sclerosis"
320,"University of Nottingham","Multiple Sclerosis"
321,"Dokuz Eylul University","Multiple Sclerosis"
322,"University of Roma La Sapienza","Multiple Sclerosis"
323,"Apimeds, Inc.","Multiple Sclerosis"
324,"Assiut University","Multiple Sclerosis"
325,"University of Michigan","Multiple Sclerosis"
326,"University of Illinois at Urbana-Champaign","Multiple Sclerosis"
327,"Universitätsklinikum Hamburg-Eppendorf","Multiple Sclerosis"
328,"Pomeranian Medical University Szczecin","Multiple Sclerosis"
329,"University Hospital, Bordeaux","Multiple Sclerosis"
330,"University Hospital, Basel, Switzerland","Multiple Sclerosis"
331,"University of Colorado, Boulder","Multiple Sclerosis"
332,"Tomas Olsson","Multiple Sclerosis"
333,"University of Alabama at Birmingham","Multiple Sclerosis"
334,"Central Hospital, Nancy, France","Multiple Sclerosis"
335,"Assistance Publique Hopitaux De Marseille","Multiple Sclerosis"
336,"NYU Langone Health","Multiple Sclerosis"
337,"University Hospital, Lille","Multiple Sclerosis"
338,"Shane.Chanpimol","Multiple Sclerosis"
339,"Rennes University Hospital","Multiple Sclerosis"
340,"Rennes University Hospital","Multiple Sclerosis"
341,"Klinik Valens","Multiple Sclerosis"
342,"Kessler Foundation","Multiple Sclerosis"
343,"University of Southern California","Multiple Sclerosis"
344,"University Hospital, Basel, Switzerland","Multiple Sclerosis"
345,"McMaster University","Multiple Sclerosis"
346,"Brigham and Women's Hospital","Multiple Sclerosis"
347,"University Hospital, Basel, Switzerland","Multiple Sclerosis"
348,"University of Michigan","Multiple Sclerosis"
349,"Assiut University","Multiple Sclerosis"
350,"Fondazione Italiana Sclerosi Multipla","Multiple Sclerosis"
351,"Sarah Morrow","Multiple Sclerosis"
352,"Genentech, Inc.","Multiple Sclerosis"
353,"Nanco van der Maas","Multiple Sclerosis"
354,"EDMUS Foundation","Multiple Sclerosis"
355,"Hoffmann-La Roche","Multiple Sclerosis"
356,"Gazi University","Multiple Sclerosis"
357,"Universidad Rey Juan Carlos","Multiple Sclerosis"
358,"Gazi University","Multiple Sclerosis"
359,"Hoffmann-La Roche","Multiple Sclerosis"
360,"Gazi University","Multiple Sclerosis"
361,"Hoffmann-La Roche","Multiple Sclerosis"
362,"Gazi University","Multiple Sclerosis"
363,"Bayer","Multiple Sclerosis"
364,"Columbia University","Multiple Sclerosis"
365,"GeNeuro Australia PTY Ltd","Multiple Sclerosis"
366,"NYU Langone Health","Multiple Sclerosis"
367,"Novartis Pharmaceuticals","Multiple Sclerosis"
368,"Healios Inc.","Multiple Sclerosis"
369,"Kasr El Aini Hospital","Multiple Sclerosis"
370,"VA Office of Research and Development","Multiple Sclerosis"
371,"Biocad","Multiple Sclerosis"
372,"Case Western Reserve University","Multiple Sclerosis"
373,"University of Erlangen-Nürnberg","Multiple Sclerosis"
374,"University Hospital of Ferrara","Multiple Sclerosis"
375,"VU University Medical Center","Multiple Sclerosis"
376,"Gazi University","Multiple Sclerosis"
377,"Charite University, Berlin, Germany","Multiple Sclerosis"
378,"Gazi University","Multiple Sclerosis"
379,"Gazi University","Multiple Sclerosis"
380,"Dokuz Eylul University","Multiple Sclerosis"
381,"Gazi University","Multiple Sclerosis"
382,"NYU Langone Health","Multiple Sclerosis"
383,"Neuromed IRCCS","Multiple Sclerosis"
384,"Fondazione Don Carlo Gnocchi Onlus","Multiple Sclerosis"
385,"University of Alabama at Birmingham","Multiple Sclerosis"
386,"Bioimmunate","Multiple Sclerosis"
387,"Dartmouth-Hitchcock Medical Center","Multiple Sclerosis"
388,"Haukeland University Hospital","Multiple Sclerosis"
389,"Shepherd Center, Atlanta GA","Multiple Sclerosis"
390,"University of Texas at Austin","Multiple Sclerosis"
391,"Fondazione Don Carlo Gnocchi Onlus","Multiple Sclerosis"
392,"Biruni University","Multiple Sclerosis"
393,"Texas Woman's University","Multiple Sclerosis"
394,"Holy Name Medical Center, Inc.","Multiple Sclerosis"
395,"Queen Margaret University","Multiple Sclerosis"
396,"Bayer","Multiple Sclerosis"
397,"Wayne State University","Multiple Sclerosis"
398,"VA Office of Research and Development","Multiple Sclerosis"
399,"University of Maryland, Baltimore","Multiple Sclerosis"
400,"University Hospital of Ferrara","Multiple Sclerosis"
401,"Duke University","Multiple Sclerosis"
402,"Hospital Italiano de Buenos Aires","Multiple Sclerosis"
403,"Kessler Foundation","Multiple Sclerosis"
404,"University of Alabama at Birmingham","Multiple Sclerosis"
405,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
406,"Luzerner Kantonsspital","Multiple Sclerosis"
407,"Nantes University Hospital","Multiple Sclerosis"
408,"Institut National de la Santé Et de la Recherche Médicale, France","Multiple Sclerosis"
409,"Turku University Hospital","Multiple Sclerosis"
410,"Genzyme, a Sanofi Company","Multiple Sclerosis"
411,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
412,"Dr. Marcia Finlayson","Multiple Sclerosis"
413,"University of Nove de Julho","Multiple Sclerosis"
414,"Assistance Publique Hopitaux De Marseille","Multiple Sclerosis"
415,"Tisch Multiple Sclerosis Research Center of New York","Multiple Sclerosis"
416,"University Hospital of Ferrara","Multiple Sclerosis"
417,"University of Michigan","Multiple Sclerosis"
418,"Assistance Publique Hopitaux De Marseille","Multiple Sclerosis"
419,"University of California, San Francisco","Multiple Sclerosis"
420,"University of Jordan","Multiple Sclerosis"
421,"Oregon Health and Science University","Multiple Sclerosis"
422,"University of Aarhus","Multiple Sclerosis"
423,"Tampa Bay Uveitis Center, LLC","Multiple Sclerosis"
424,"State University of New York at Buffalo","Multiple Sclerosis"
425,"CorEvitas","Multiple Sclerosis"
426,"Hasselt University","Multiple Sclerosis"
427,"Bayer","Multiple Sclerosis"
428,"University of Miami","Multiple Sclerosis"
429,"Assiut University","Multiple Sclerosis"
430,"Gazi University","Multiple Sclerosis"
431,"Queen Mary University of London","Multiple Sclerosis"
432,"Brno University Hospital","Multiple Sclerosis"
433,"The Cleveland Clinic","Multiple Sclerosis"
434,"Arrien Pharmaceuticals","Multiple Sclerosis"
435,"Actelion","Multiple Sclerosis"
436,"Columbia University","Multiple Sclerosis"
437,"Biogen","Multiple Sclerosis"
438,"Universitätsklinikum Hamburg-Eppendorf","Multiple Sclerosis"
439,"Takeda","Multiple Sclerosis"
440,"Brigham and Women's Hospital","Multiple Sclerosis"
441,"Kessler Foundation","Multiple Sclerosis"
442,"University of Texas at Austin","Multiple Sclerosis"
443,"Hospital Israelita Albert Einstein","Multiple Sclerosis"
444,"Sanofi","Multiple Sclerosis"
445,"Glostrup University Hospital, Copenhagen","Multiple Sclerosis"
446,"Hospices Civils de Lyon","Multiple Sclerosis"
447,"Klinik Valens","Multiple Sclerosis"
448,"University of Washington","Multiple Sclerosis"
449,"University of Colorado, Denver","Multiple Sclerosis"
450,"NYU Langone Health","Multiple Sclerosis"
451,"Colorado State University","Multiple Sclerosis"
452,"VA Office of Research and Development","Multiple Sclerosis"
453,"Glasgow Caledonian University","Multiple Sclerosis"
454,"Sheffield Hallam University","Multiple Sclerosis"
455,"Genesis Pharma CNS & Specialty","Multiple Sclerosis"
456,"VA Office of Research and Development","Multiple Sclerosis"
457,"Sheffield Teaching Hospitals NHS Foundation Trust","Multiple Sclerosis"
458,"Tabriz University of Medical Sciences","Multiple Sclerosis"
459,"Ad scientiam","Multiple Sclerosis"
460,"Universitätsklinikum Hamburg-Eppendorf","Multiple Sclerosis"
461,"University of Alberta","Multiple Sclerosis"
462,"Unity Health Toronto","Multiple Sclerosis"
463,"Turku University Hospital","Multiple Sclerosis"
464,"Bayer","Multiple Sclerosis"
465,"Mayo Clinic","Multiple Sclerosis"
466,"Centre Hospitalier Universitaire de Nice","Multiple Sclerosis"
467,"University of Alabama at Birmingham","Multiple Sclerosis"
468,"Makati Medical Center","Multiple Sclerosis"
469,"University of Southern California","Multiple Sclerosis"
470,"National Institute of Allergy and Infectious Diseases (NIAID)","Multiple Sclerosis"
471,"Fondation Ophtalmologique Adolphe de Rothschild","Multiple Sclerosis"
472,"Brugmann University Hospital","Multiple Sclerosis"
473,"Multiple Sclerosis Center of Northeastern New York","Multiple Sclerosis"
474,"Pontificia Universidade Católica do Rio Grande do Sul","Multiple Sclerosis"
475,"University of Colorado, Denver","Multiple Sclerosis"
476,"Stem Cells Arabia","Multiple Sclerosis"
477,"Clinique Neuro-Outaouais","Multiple Sclerosis"
478,"State University of New York at Buffalo","Multiple Sclerosis"
479,"Dokuz Eylul University","Multiple Sclerosis"
480,"University of Saskatchewan","Multiple Sclerosis"
481,"Thomas Jefferson University","Multiple Sclerosis"
482,"University Hospital, Caen","Multiple Sclerosis"
483,"NYU Langone Health","Multiple Sclerosis"
484,"University at Buffalo","Multiple Sclerosis"
485,"University of Chicago","Multiple Sclerosis"
486,"University of Saskatchewan","Multiple Sclerosis"
487,"PhytoTech Therapeutics, Ltd.","Multiple Sclerosis"
488,"Cairo University","Multiple Sclerosis"
489,"Carol Davila University of Medicine and Pharmacy","Multiple Sclerosis"
490,"University of California, Los Angeles","Multiple Sclerosis"
491,"University of Pittsburgh","Multiple Sclerosis"
492,"Hospices Civils de Lyon","Multiple Sclerosis"
493,"Colorado State University","Multiple Sclerosis"
494,"Icahn School of Medicine at Mount Sinai","Multiple Sclerosis"
495,"Swiss Multiple Sclerosis Registry","Multiple Sclerosis"
496,"University of Colorado, Denver","Multiple Sclerosis"
497,"Cairo University","Multiple Sclerosis"
498,"Biogen","Multiple Sclerosis"
499,"Hospital General Universitario Gregorio Marañon","Multiple Sclerosis"
500,"Rocky Mountain MS Research Group, LLC","Multiple Sclerosis"
501,"Fondazione Don Carlo Gnocchi Onlus","Multiple Sclerosis"
502,"Hoffmann-La Roche","Multiple Sclerosis"
503,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
504,"Hacettepe University","Multiple Sclerosis"
505,"Isfahan University of Medical Sciences","Multiple Sclerosis"
506,"Rennes University Hospital","Multiple Sclerosis"
507,"MedDay Pharmaceuticals SA","Multiple Sclerosis"
508,"Nantes University Hospital","Multiple Sclerosis"
509,"Actelion","Multiple Sclerosis"
510,"University Hospital, Strasbourg, France","Multiple Sclerosis"
511,"Colorado State University","Multiple Sclerosis"
512,"Fondation Ophtalmologique Adolphe de Rothschild","Multiple Sclerosis"
