,Rank,NCTId,BriefTitle,SecondaryId,LeadSponsorName,LocationCountry
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Germany
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Greece
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Hungary
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Italy
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Mexico
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Peru
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Poland
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Portugal
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Puerto Rico
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Russian Federation
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Spain
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Switzerland
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Turkey
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Ukraine
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,United Kingdom
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,United States
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Argentina
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Australia
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Belgium
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Brazil
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Canada
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Czechia
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Denmark
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,France
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Germany
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Greece
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Hungary
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Israel
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Italy
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Mexico
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Netherlands
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Peru
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Poland
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Portugal
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Russian Federation
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Spain
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Switzerland
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Turkey
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,Ukraine
115,116,NCT04544436,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Relapsing Multiple Sclerosis (RMS)",2020-000893-69,Hoffmann-La Roche,United Kingdom
146,147,NCT04410965,Evaluation of the Relationship Between ABCG2 Mutation and Teriflunomide Exposure and Safety in Chinese RMS Patients Treated With Teriflunomide 14 mg Once Daily for 24 Weeks,U1111-1233-0136,Sanofi,China
192,193,NCT04171310,Study of Excretion Balance and Pharmacokinetics of [14C]-SAR442168 in Healthy Male Subjects,2019-001069-33|U1111-1223-4541,Sanofi,United Kingdom
197,198,NCT04147052,iSLEEPms: An Internet-Delivered Intervention for Sleep Disturbance in Multiple Sclerosis,K23HD086154,Johns Hopkins University,United States
224,225,NCT04075266,A Study of Ocrelizumab in Children and Adolescents With Relapsing-Remitting Multiple Sclerosis,2016-002667-34,Hoffmann-La Roche,United States
224,225,NCT04075266,A Study of Ocrelizumab in Children and Adolescents With Relapsing-Remitting Multiple Sclerosis,2016-002667-34,Hoffmann-La Roche,Italy
224,225,NCT04075266,A Study of Ocrelizumab in Children and Adolescents With Relapsing-Remitting Multiple Sclerosis,2016-002667-34,Hoffmann-La Roche,Poland
229,230,NCT04054050,Bright Light Therapy for Sleep Disturbance in People With Multiple Sclerosis,R03HD101056,Johns Hopkins University,United States
239,240,NCT04025554,Anakinra for the Treatment of Chronically Inflamed White Matter Lesions in Multiple Sclerosis,19-N-0124,National Institute of Neurological Disorders and Stroke (NINDS),United States
258,259,NCT03934489,Emotion Regulation Skills Training for Individuals With MS and Their Support Partners,PP-1804-30860,Johns Hopkins University,United States
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Argentina
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Belgium
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Brazil
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Bulgaria
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Canada
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Croatia
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Czechia
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Denmark
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Estonia
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Finland
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,France
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Ireland
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Italy
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Kuwait
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Mexico
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Netherlands
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Norway
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Poland
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Portugal
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Slovakia
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Slovenia
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Spain
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Sweden
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,Turkey
354,355,NCT03599245,This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2017-004886-29,Hoffmann-La Roche,United Kingdom
360,361,NCT03589105,"A Study to Provide Complementary Efficacy, Safety and Patient Reported Outcomes Data in Participants With Active Relapsing Forms of Multiple Sclerosis (MS) in a Pragmatic Setting",2018-000780-91,Hoffmann-La Roche,France
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Austria
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Belgium
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Czechia
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Denmark
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Finland
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",France
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Greece
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Hungary
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Italy
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Lithuania
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Netherlands
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Norway
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Poland
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Portugal
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Slovakia
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Spain
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",Sweden
404,405,NCT03369665,Evaluation of Quality of Life (QoL) in Subjects With Highly Active Relapsing Multiple Sclerosis (MS) (CLARIFY MS),2017-002632-17,"Merck KGaA, Darmstadt, Germany",United Kingdom
410,411,NCT03364036,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2017-002631-42,"Merck KGaA, Darmstadt, Germany",Australia
410,411,NCT03364036,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2017-002631-42,"Merck KGaA, Darmstadt, Germany",Austria
410,411,NCT03364036,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2017-002631-42,"Merck KGaA, Darmstadt, Germany",Canada
410,411,NCT03364036,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2017-002631-42,"Merck KGaA, Darmstadt, Germany",Czechia
410,411,NCT03364036,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2017-002631-42,"Merck KGaA, Darmstadt, Germany",Finland
410,411,NCT03364036,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2017-002631-42,"Merck KGaA, Darmstadt, Germany",France
410,411,NCT03364036,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2017-002631-42,"Merck KGaA, Darmstadt, Germany",Germany
410,411,NCT03364036,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2017-002631-42,"Merck KGaA, Darmstadt, Germany",Hungary
410,411,NCT03364036,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2017-002631-42,"Merck KGaA, Darmstadt, Germany",Israel
410,411,NCT03364036,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2017-002631-42,"Merck KGaA, Darmstadt, Germany",Italy
410,411,NCT03364036,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2017-002631-42,"Merck KGaA, Darmstadt, Germany",Poland
410,411,NCT03364036,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2017-002631-42,"Merck KGaA, Darmstadt, Germany",Spain
410,411,NCT03364036,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2017-002631-42,"Merck KGaA, Darmstadt, Germany",Sweden
410,411,NCT03364036,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2017-002631-42,"Merck KGaA, Darmstadt, Germany",United Kingdom
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Austria
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Belgium
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Canada
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Czechia
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Denmark
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Finland
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,France
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Germany
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Hungary
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Israel
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Italy
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Norway
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Poland
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Portugal
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Spain
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Sweden
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,Switzerland
426,427,NCT03269175,BENEFIT 15 Long-term Follow-up Study of the BENEFIT and BENEFIT Follow-up Studies,2017-001176-31,Bayer,United Kingdom
436,437,NCT03222973,Efficacy and Safety of BIIB033 (Opicinumab) as an Add-on Therapy to Disease-Modifying Therapies (DMTs) in Relapsing Multiple Sclerosis (MS),2017-001224-22,Biogen,United States
436,437,NCT03222973,Efficacy and Safety of BIIB033 (Opicinumab) as an Add-on Therapy to Disease-Modifying Therapies (DMTs) in Relapsing Multiple Sclerosis (MS),2017-001224-22,Biogen,Australia
