"Index","NStudiesWithValue","NStudiesFoundWithValue","FieldValue"
400,68,7,"Providence Health & Services"
401,1,1,"Providence Multiple Sclerosis Center"
402,10,1,"Pôle Saint Hélier"
403,64,1,"Qilu Hospital of Shandong University"
404,26,3,"Queen Margaret University"
405,154,6,"Queen Mary University of London"
406,234,1,"Queen's University"
407,58,1,"Rajavithi Hospital"
408,423,1,"Rambam Health Care Campus"
409,1,1,"Rebecca Spain"
410,19,1,"RedHill Biopharma Limited"
411,21,1,"Regina Elena Cancer Institute"
412,209,1,"Region Skane"
413,81,1,"Region Örebro County"
414,1,1,"Rehazentrum Wilhelmshaven"
415,33,1,"RemeGen Co., Ltd."
416,391,18,"Rennes University Hospital"
417,2,2,"Research Center for Clinical Neuroimmunology and Neuroscience Basel"
418,13,1,"Revalesio Corporation"
419,729,6,"Rigshospitalet, Denmark"
420,2,2,"Riley Bove, MD"
421,1,1,"Robert Zivadinov, MD, PhD"
422,4,4,"Rocky Mountain MS Research Group, LLC"
423,18,1,"Rowan University"
424,87,1,"Royan Institute"
425,198,1,"Ruijin Hospital"
426,287,1,"Rush University Medical Center"
427,34,1,"Russian Academy of Medical Sciences"
428,294,5,"Rutgers, The State University of New Jersey"
429,15,8,"S. Andrea Hospital"
430,4,1,"S. Anna Hospital"
431,19,1,"Saint Francis Care"
432,31,1,"Saint-Joseph University"
433,1,1,"Samuel Forrester Hunter, MD, PhD"
434,3,1,"San Camillo Hospital, Rome"
435,3,1,"San Francisco State University"
436,9,1,"San Luigi Gonzaga Hospital"
437,14,3,"Sanko University"
438,1273,31,"Sanofi"
439,9,1,"Sara Varea"
440,2,2,"Sarah Morrow"
441,1,1,"Seah Lim M.D."
442,1,1,"Shane.Chanpimol"
443,3,1,"Shared Decision Making Resources"
444,1,1,"Sharon Lynch, MD"
445,603,10,"Sheba Medical Center"
446,27,1,"Sheffield Hallam University"
447,173,3,"Sheffield Teaching Hospitals NHS Foundation Trust"
448,7,1,"Shenzhen Beike Bio-Technology Co., Ltd."
449,16,2,"Shepherd Center, Atlanta GA"
450,104,1,"Shirley Ryan AbilityLab"
451,1,1,"Simnad, Virginia, M.D."
452,1,1,"Sina Hospital, Iran"
453,8,1,"Slovak Academy of Sciences"
454,13,2,"Somogy Megyei Kaposi Mór Teaching Hospital"
455,51,1,"South Valley University"
456,6,1,"St. Barnabas Medical Center"
457,49,1,"St. Joseph's Hospital and Medical Center, Phoenix"
458,121,1,"St. Olavs Hospital"
459,33,1,"St. Petersburg State Pavlov Medical University"
460,1576,1,"Stanford University"
461,149,8,"State University of New York at Buffalo"
462,1,1,"Stem Cell Medicine Ltd."
463,12,1,"Stem Cells Arabia"
464,5,1,"StemGenex"
465,1,1,"Stine Maarbjerg, MD PhD"
466,144,5,"Stony Brook University"
467,1,1,"Stuart D Cook MD"
468,1,1,"Suhayl Dhib-Jalbut, MD"
469,22,1,"Suleyman Demirel University"
470,32,1,"Sultan Abdulhamid Han Training and Research Hospital, Istanbul, Turkey"
471,966,1,"Sun Yat-sen University"
472,431,5,"Sunnybrook Health Sciences Centre"
473,27,1,"Swansea University"
474,127,1,"Swiss Federal Institute of Technology"
475,1,1,"Swiss Multiple Sclerosis Registry"
476,35,1,"Sykehuset Innlandet HF"
477,14,1,"Syneos Health"
478,1,1,"Synthon BV"
479,42,1,"T.C. ORDU ÜNİVERSİTESİ"
480,6,1,"Tabriz University of Medical Sciences"
481,12,1,"Taibah University"
482,773,1,"Takeda"
483,11,1,"Talaris Therapeutics Inc."
484,2,1,"Tampa Bay Uveitis Center, LLC"
485,1,1,"Tanner Foundation for Multiple Sclerosis"
486,202,7,"Tehran University of Medical Sciences"
487,48,1,"Tel Aviv University"
488,494,1,"Tel-Aviv Sourasky Medical Center"
489,6,5,"Terry L. Wahls"
490,110,3,"Teva Branded Pharmaceutical Products R&D, Inc."
491,7,1,"Teva GTC"
492,10,6,"Teva Neuroscience, Inc."
493,80,19,"Teva Pharmaceutical Industries"
494,16,5,"Teva Pharmaceutical Industries, Ltd."
495,81,2,"Texas Tech University Health Sciences Center"
496,59,3,"Texas Woman's University"
497,29,5,"TG Therapeutics, Inc."
498,1,1,"The Centre for Advanced Research & Development, India"
499,676,12,"The Cleveland Clinic"
500,15,1,"The Foundation for Orthopaedics and Regenerative Medicine"
501,467,6,"The Hospital for Sick Children"
502,73,2,"The Leeds Teaching Hospitals NHS Trust"
503,69,1,"The Methodist Hospital Research Institute"
504,611,5,"The University of Texas Health Science Center, Houston"
505,2,2,"Theodore R. Brown, MD MPH"
506,87,1,"Third Affiliated Hospital, Sun Yat-Sen University"
507,259,3,"Thomas Jefferson University"
508,3,3,"Tisch Multiple Sclerosis Research Center of New York"
509,7,1,"Tiziana Life Sciences, PLC"
510,1,1,"Tomas Olsson"
511,9,1,"Translational Biosciences"
512,2,1,"Transparency Life Sciences"
513,13,1,"Trio Medicines Ltd."
514,53,1,"Tulane University"
515,219,7,"Turku University Hospital"
516,247,3,"UCB Pharma"
517,344,2,"Unity Health Toronto"
518,2,1,"Universidad Austral de Chile"
519,66,3,"Universidad Católica San Antonio de Murcia"
520,146,2,"Universidad de Granada"
521,59,2,"Universidad Rey Juan Carlos"
522,82,6,"Universita di Verona"
523,234,2,"Universitair Ziekenhuis Brussel"
524,68,15,"University at Buffalo"
525,1,1,"University at Buffalo Neurosurgery"
526,59,2,"University College Dublin"
527,51,1,"University College London Hospitals"
528,463,7,"University College, London"
529,55,1,"University Hospital Center of Martinique"
530,532,5,"University Hospital Inselspital, Berne"
531,150,6,"University Hospital Muenster"
532,73,9,"University Hospital of Ferrara"
533,111,1,"University Hospital of North Norway"
534,143,1,"University Hospital, Antwerp"
535,709,11,"University Hospital, Basel, Switzerland"
536,547,14,"University Hospital, Bordeaux"
537,357,9,"University Hospital, Caen"
538,586,5,"University Hospital, Clermont-Ferrand"
539,594,1,"University Hospital, Grenoble"
540,496,6,"University Hospital, Lille"
541,212,1,"University Hospital, Limoges"
542,938,3,"University Hospital, Montpellier"
543,279,1,"University Hospital, Rouen"
544,533,4,"University Hospital, Strasbourg, France"
545,554,4,"University Hospital, Toulouse"
546,13,1,"University Medical Centre Maribor"
547,120,1,"University Medicine Greifswald"
548,1013,11,"University of Aarhus"
549,998,16,"University of Alabama at Birmingham"
550,547,2,"University of Alberta"
551,117,1,"University of Athens"
552,34,1,"University of Belgrade"
553,1017,7,"University of British Columbia"
554,44,2,"University of Cagliari"
555,477,7,"University of Calgary"
556,609,4,"University of California, Davis"
557,855,7,"University of California, Los Angeles"
558,671,1,"University of California, San Diego"
559,1618,13,"University of California, San Francisco"
560,83,1,"University of Cambridge"
561,685,4,"University of Chicago"
562,60,2,"University of Colorado, Boulder"
563,1104,12,"University of Colorado, Denver"
564,360,2,"University of Copenhagen"
565,10,1,"University of Cyprus"
566,9,1,"University of Deusto"
567,43,2,"University of Dublin, Trinity College"
568,304,3,"University of Edinburgh"
569,20,5,"University of Erlangen-Nürnberg"
570,980,1,"University of Florida"
571,97,3,"University of Glasgow"
572,325,3,"University of Illinois at Chicago"
573,132,12,"University of Illinois at Urbana-Champaign"
574,197,5,"University of Iowa"
575,4,1,"University of Isfahan"
576,71,4,"University of Jordan"
577,300,2,"University of Kansas Medical Center"
578,162,1,"University of Leeds"
579,183,1,"University of Liege"
580,37,2,"University of Limerick"
581,20,2,"University of Lincoln"
582,237,2,"University of Louisville"
583,69,1,"University of Malaga"
584,418,4,"University of Manitoba"
585,485,1,"University of Maryland, Baltimore"
586,58,1,"University of Maryland, College Park"
587,9,1,"University of Massachusetts, Lowell"
588,580,2,"University of Miami"
589,1093,7,"University of Michigan"
590,63,1,"University of Milano Bicocca"
591,879,3,"University of Minnesota"
592,37,4,"University of Missouri, Kansas City"
593,371,3,"University of Nebraska"
594,242,1,"University of New Mexico"
595,17,1,"University of North Carolina"
596,1046,3,"University of North Carolina, Chapel Hill"
597,10,1,"University of North Carolina, Charlotte"
598,316,9,"University of Nottingham"
599,148,1,"University of Nove de Julho"
600,11,1,"University of Novi Sad, Faculty of Sport and Physical Education"
601,285,1,"University of Oklahoma"
602,141,1,"University of Oslo"
603,65,3,"University of Ottawa"
604,602,1,"University of Oxford"
605,1146,1,"University of Pittsburgh"
606,24,1,"University of Plymouth"
607,554,4,"University of Rochester"
608,293,2,"University of Roma La Sapienza"
609,28,1,"University of Salamanca"
610,848,1,"University of Sao Paulo"
611,192,3,"University of Saskatchewan"
612,51,1,"University of Seville"
613,55,1,"University of Sheffield"
614,36,1,"University of Siena"
615,109,1,"University of South Carolina"
616,264,4,"University of South Florida"
617,582,6,"University of Southern California"
618,241,3,"University of Southern Denmark"
619,25,1,"University of Split, School of Medicine"
620,10,1,"University of Stirling"
621,192,2,"University of Texas at Austin"
622,740,9,"University of Texas Southwestern Medical Center"
623,4,1,"University of the West of Scotland"
624,292,1,"University of Toronto"
625,140,2,"University of Turin, Italy"
626,86,2,"University of Turku"
627,707,1,"University of Utah"
628,506,4,"University of Virginia"
629,1071,14,"University of Washington"
630,850,5,"University of Wisconsin, Madison"
631,863,2,"University of Zurich"
632,13,1,"University Rehabilitation Institute, Republic of Slovenia"
633,20,1,"Università degli Studi di Sassari"
634,292,13,"Universitätsklinikum Hamburg-Eppendorf"
635,260,1,"Uppsala University"
636,679,11,"US Department of Veterans Affairs"
637,1,1,"Uğur OVACIK"
638,22,1,"Uşak University"
639,1267,14,"VA Office of Research and Development"
640,6,1,"Vaccinex Inc."
641,57,1,"Versailles Hospital"
642,25,1,"Vestre Viken Hospital Trust"
643,1,1,"Virginia Simnad"
644,85,1,"Vrije Universiteit Brussel"
645,184,5,"VU University Medical Center"
646,739,1,"Wake Forest University Health Sciences"
647,13,2,"Washington D.C. Veterans Affairs Medical Center"
648,1,1,"Washington Neuropsychology Research Group"
649,1383,8,"Washington University School of Medicine"
650,2,1,"Waukesha Memorial Hospital"
651,185,6,"Wayne State University"
652,707,4,"Weill Medical College of Cornell University"
653,15,1,"Wellspect HealthCare"
654,2,1,"Winston Salem State University"
655,484,2,"Wyeth is now a wholly owned subsidiary of Pfizer"
656,27,1,"XenoPort, Inc."
657,1282,4,"Yale University"
658,77,1,"Ziv Hospital"
659,1,1,"Zoé van Kempen"
660,19,1,"Zurich University of Applied Sciences"
661,22,3,"Örebro County Council"
