"Rank","LeadSponsorName","Condition"
1088,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
1089,"Newcastle-upon-Tyne Hospitals NHS Trust","Multiple Sclerosis"
1090,"Brown, Theodore R., M.D., MPH","Multiple Sclerosis"
1091,"Odense University Hospital","Multiple Sclerosis"
1092,"Sheba Medical Center","Multiple Sclerosis"
1093,"Fred Lublin","Multiple Sclerosis"
1094,"University of California, Los Angeles","Multiple Sclerosis"
1095,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
1096,"GlaxoSmithKline","Multiple Sclerosis"
1097,"University of Cambridge","Multiple Sclerosis"
1098,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
1099,"GW Pharmaceuticals Ltd.","Multiple Sclerosis"
1100,"University of Aarhus","Multiple Sclerosis"
1101,"NEMA Research, Inc.","Multiple Sclerosis"
1102,"Bayer","Multiple Sclerosis"
1103,"King's College London","Multiple Sclerosis"
1104,"Novartis","Multiple Sclerosis"
1105,"Logan College of Chiropractic","Multiple Sclerosis"
1106,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
1107,"Novartis","Multiple Sclerosis"
1108,"EMD Serono","Multiple Sclerosis"
1109,"Teva Pharmaceutical Industries","Multiple Sclerosis"
1110,"US Department of Veterans Affairs","Multiple Sclerosis"
1111,"Novartis","Multiple Sclerosis"
1112,"Sheba Medical Center","Multiple Sclerosis"
1113,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
1114,"University of Texas Southwestern Medical Center","Multiple Sclerosis"
1115,"US Department of Veterans Affairs","Multiple Sclerosis"
1116,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
1117,"Bayer","Multiple Sclerosis"
1118,"Clinique de sclérose en plaques et neuromusculaire de l'Outaouais","Multiple Sclerosis"
1119,"Stony Brook University","Multiple Sclerosis"
1120,"Groupe Hospitalier Pitie-Salpetriere","Multiple Sclerosis"
1121,"Biogen","Multiple Sclerosis"
1122,"Northwestern University","Multiple Sclerosis"
1123,"Biogen","Multiple Sclerosis"
1124,"Northwestern University","Multiple Sclerosis"
1125,"S. Andrea Hospital","Multiple Sclerosis"
1126,"Sanofi","Multiple Sclerosis"
1127,"EMD Serono","Multiple Sclerosis"
1128,"Center for Medicinal Cannabis Research","Multiple Sclerosis"
1129,"Center for Medicinal Cannabis Research","Multiple Sclerosis"
1130,"Louisiana State University Health Sciences Center Shreveport","Multiple Sclerosis"
1131,"Teva Pharmaceutical Industries","Multiple Sclerosis"
1132,"Teva Neuroscience, Inc.","Multiple Sclerosis"
1133,"Teva Neuroscience, Inc.","Multiple Sclerosis"
1134,"Teva Neuroscience, Inc.","Multiple Sclerosis"
1135,"Sheba Medical Center","Multiple Sclerosis"
1136,"Sharon Lynch, MD","Multiple Sclerosis"
1137,"Sheba Medical Center","Multiple Sclerosis"
1138,"Sanofi","Multiple Sclerosis"
1139,"University of Texas Southwestern Medical Center","Multiple Sclerosis"
1140,"University of Texas Southwestern Medical Center","Multiple Sclerosis"
1141,"Teva Neuroscience, Inc.","Multiple Sclerosis"
1142,"Sheba Medical Center","Multiple Sclerosis"
1143,"Multiple Sclerosis Institute","Multiple Sclerosis"
1144,"Centocor, Inc.","Multiple Sclerosis"
1145,"Bayer","Multiple Sclerosis"
1146,"S. Andrea Hospital","Multiple Sclerosis"
1147,"S. Andrea Hospital","Multiple Sclerosis"
1148,"S. Andrea Hospital","Multiple Sclerosis"
1149,"Melbourne Health","Multiple Sclerosis"
1150,"Assistance Publique - Hôpitaux de Paris","Multiple Sclerosis"
1151,"Bayer","Multiple Sclerosis"
1152,"Stuart D Cook MD","Multiple Sclerosis"
1153,"Biogen","Multiple Sclerosis"
1154,"Kessler Foundation","Multiple Sclerosis"
1155,"US Department of Veterans Affairs","Multiple Sclerosis"
1156,"S. Andrea Hospital","Multiple Sclerosis"
1157,"Northwestern University","Multiple Sclerosis"
1158,"University of North Carolina","Multiple Sclerosis"
1159,"Kessler Foundation","Multiple Sclerosis"
1160,"UCB Pharma","Multiple Sclerosis"
1161,"Groupe Hospitalier Pitie-Salpetriere","Multiple Sclerosis"
1162,"University of North Carolina, Chapel Hill","Multiple Sclerosis"
1163,"Sanofi","Multiple Sclerosis"
1164,"Acorda Therapeutics","Multiple Sclerosis"
1165,"Hospices Civils de Lyon","Multiple Sclerosis"
1166,"US Department of Veterans Affairs","Multiple Sclerosis"
1167,"EMD Serono","Multiple Sclerosis"
1168,"PDL BioPharma, Inc.","Multiple Sclerosis"
1169,"Hoffmann-La Roche","Multiple Sclerosis"
1170,"Bayhill Therapeutics","Multiple Sclerosis"
1171,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
1172,"Genentech, Inc.","Multiple Sclerosis"
1173,"National Institute of Allergy and Infectious Diseases (NIAID)","Multiple Sclerosis"
1174,"National Institutes of Health Clinical Center (CC)","Multiple Sclerosis"
1175,"Genentech, Inc.","Multiple Sclerosis"
1176,"AbbVie (prior sponsor, Abbott)","Multiple Sclerosis"
1177,"Neurocrine Biosciences","Multiple Sclerosis"
1178,"National Institutes of Health Clinical Center (CC)","Multiple Sclerosis"
1179,"Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Multiple Sclerosis"
1180,"Acorda Therapeutics","Multiple Sclerosis"
1181,"Avanir Pharmaceuticals","Multiple Sclerosis"
1182,"National Center for Research Resources (NCRR)","Multiple Sclerosis"
1183,"Baylor College of Medicine","Multiple Sclerosis"
1184,"US Department of Veterans Affairs","Multiple Sclerosis"
1185,"MidAmerica Neuroscience Research Foundation at Rowe Neurology Institute","Multiple Sclerosis"
1186,"Bristol-Myers Squibb","Multiple Sclerosis"
1187,"Northwestern Memorial Hospital","Multiple Sclerosis"
1188,"Fred Hutchinson Cancer Research Center","Multiple Sclerosis"
1189,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
1190,"National Center for Complementary and Integrative Health (NCCIH)","Multiple Sclerosis"
1191,"National Center for Complementary and Integrative Health (NCCIH)","Multiple Sclerosis"
1192,"National Center for Research Resources (NCRR)","Multiple Sclerosis"
1193,"National Center for Research Resources (NCRR)","Multiple Sclerosis"
1194,"National Center for Research Resources (NCRR)","Multiple Sclerosis"
1195,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
1196,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
1197,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
1198,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
1199,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
1200,"Hasselt University","Multiple Sclerosis|Progressive Multiple Sclerosis"
1201,"Haukeland University Hospital","Multiple Sclerosis|Progressive Multiple Sclerosis"
1202,"University Hospital, Bordeaux","Multiple Sclerosis|Multiple Sclerosis, Acute Relapsing"
1203,"Uppsala University","Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting"
1204,"Celgene","Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting"
1205,"Biogen","Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting"
1206,"Biogen","Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting"
1207,"Berkovich, Regina MD, PhD Inc.","Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting"
1208,"Riley Bove, MD","Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting"
1209,"Washington University School of Medicine","Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting"
1210,"Terry L. Wahls","Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting"
1211,"Washington University School of Medicine","Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting"
1212,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting"
1213,"Bayer","Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting"
1214,"National Institute of Allergy and Infectious Diseases (NIAID)","Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting"
1215,"Oslo University Hospital","Relapsing Multiple Sclerosis|Multiple Sclerosis"
1216,"University of Split, School of Medicine","Multiple Sclerosis|Relapsing Remitting Multiple Sclerosis"
1217,"Anokion SA","Multiple Sclerosis|Relapsing Remitting Multiple Sclerosis"
1218,"Institut National de la Santé Et de la Recherche Médicale, France","Multiple Sclerosis|Relapsing-Remitting Multiple Sclerosis"
1219,"National Institute of Allergy and Infectious Diseases (NIAID)","Multiple Sclerosis|Primary Progressive Multiple Sclerosis"
1220,"Centre Hospitalier Régional d'Orléans","Multiple Sclerosis, Acute Relapsing|Multiple Sclerosis"
1221,"Biogen","Multiple Sclerosis, Relapsing-Remitting|Multiple Sclerosis"
1222,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis, Relapsing-Remitting|Multiple Sclerosis"
1223,"Immune Response BioPharma, Inc.","Secondary Progress Multiple Sclerosis|Multiple Sclerosis"
1224,"Biogen","Relapsing-Remitting Multiple Sclerosis|Multiple Sclerosis"
1225,"Biogen","Relapsing-Remitting Multiple Sclerosis|Multiple Sclerosis"
1226,"Biogen","Relapsing-Remitting Multiple Sclerosis|Multiple Sclerosis"
1227,"Biogen","Relapsing-Remitting Multiple Sclerosis|Multiple Sclerosis"
1228,"Biogen","Relapsing-Remitting Multiple Sclerosis|Multiple Sclerosis"
1229,"Biogen","Relapsing-Remitting Multiple Sclerosis|Multiple Sclerosis"
1230,"Biogen","Relapsing-Remitting Multiple Sclerosis|Multiple Sclerosis"
1231,"University Hospital, Basel, Switzerland","Multiple Sclerosis)"
1232,"Centre Hospitalier Universitaire de Saint Etienne","Sclerosis, Multiple"
1233,"Assistance Publique Hopitaux De Marseille","Sclerosis, Multiple"
1234,"Versailles Hospital","Sclerosis, Multiple"
1235,"IRCCS National Neurological Institute ""C. Mondino"" Foundation","Multiple Sclerosis Relapse"
1236,"IRCCS Centro Neurolesi ""Bonino-Pulejo""","Multiple Sclerosis Relapse"
1237,"Sanofi","Multiple Sclerosis Relapse"
1238,"University Hospital of Ferrara","Multiple Sclerosis Subjects"
1239,"Queen Mary University of London","Advanced Multiple Sclerosis|Progressive Multiple Sclerosis"
1240,"University Hospital, Montpellier","Progressive Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting"
1241,"Cinnagen","Relapsing Multiple Sclerosis"
1242,"Novartis Pharmaceuticals","Relapsing Multiple Sclerosis"
1243,"The Hospital for Sick Children","Pediatric Multiple Sclerosis"
1244,"Novartis Pharmaceuticals","Relapsing Multiple Sclerosis"
1245,"Istanbul University-Cerrahpasa","Pediatric Multiple Sclerosis"
1246,"Clene Nanomedicine","Relapsing Multiple Sclerosis"
1247,"Hoffmann-La Roche","Relapsing Multiple Sclerosis"
1248,"Hoffmann-La Roche","Relapsing Multiple Sclerosis"
1249,"Brigham and Women's Hospital","Relapsing Multiple Sclerosis"
1250,"Novartis Pharmaceuticals","Relapsing Multiple Sclerosis"
1251,"NYU Langone Health","Pediatric Multiple Sclerosis"
1252,"Sanofi","Relapsing Multiple Sclerosis"
1253,"Sanofi","Relapsing Multiple Sclerosis"
1254,"Georgia State University","Relapsing Multiple Sclerosis"
1255,"Novartis Pharmaceuticals","Relapsing Multiple Sclerosis"
1256,"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany","Relapsing Multiple Sclerosis"
1257,"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany","Relapsing Multiple Sclerosis"
1258,"Neuromed IRCCS","Relapsing Multiple Sclerosis"
1259,"Biogen","Relapsing Multiple Sclerosis"
1260,"Sanofi","Relapsing Multiple Sclerosis"
1261,"Sanofi","Relapsing Multiple Sclerosis"
1262,"Sanofi","Relapsing Multiple Sclerosis"
1263,"Novartis Pharmaceuticals","Relapsing Multiple Sclerosis"
1264,"Novartis Pharmaceuticals","Relapsing Multiple Sclerosis"
1265,"Novartis Pharmaceuticals","Relapsing Multiple Sclerosis"
1266,"The Hospital for Sick Children","Pediatric Multiple Sclerosis"
1267,"The Hospital for Sick Children","Pediatric Multiple Sclerosis"
1268,"The Hospital for Sick Children","Pediatric Multiple Sclerosis"
1269,"Novartis Pharmaceuticals","Relapsing Multiple Sclerosis"
1270,"Biogen","Relapsing Multiple Sclerosis"
1271,"Biogen","Relapsing Multiple Sclerosis"
1272,"Biogen","Relapsing Multiple Sclerosis"
1273,"Celgene","Relapsing Multiple Sclerosis"
1274,"Biogen","Relapsing Multiple Sclerosis"
1275,"Celgene","Relapsing Multiple Sclerosis"
1276,"Merck KGaA, Darmstadt, Germany","Relapsing Multiple Sclerosis"
1277,"Merck KGaA, Darmstadt, Germany","Relapsing Multiple Sclerosis"
1278,"Hoffmann-La Roche","Relapsing Multiple Sclerosis"
1279,"Teva Pharmaceutical Industries","Relapsing Multiple Sclerosis"
1280,"University of California, San Francisco","Pediatric Multiple Sclerosis"
1281,"Biogen","Relapsing Multiple Sclerosis"
1282,"Hoffmann-La Roche","Relapsing Multiple Sclerosis"
1283,"Novartis","Relapsing Multiple Sclerosis"
1284,"Novartis","Relapsing Multiple Sclerosis"
1285,"Biogen","Relapsing Multiple Sclerosis"
1286,"Teva Pharmaceutical Industries, Ltd.","Relapsing Multiple Sclerosis"
1287,"EMD Serono","Relapsing Multiple Sclerosis"
1288,"Rigshospitalet, Denmark","Relapsing Multiple Sclerosis"
1289,"Teva Pharmaceutical Industries, Ltd.","Relapsing Multiple Sclerosis"
1290,"Biogen","Relapsing Multiple Sclerosis"
1291,"EMD Serono","Relapsing Multiple Sclerosis"
1292,"UCB Pharma","Relapsing Multiple Sclerosis"
1293,"EMD Serono","Relapsing Multiple Sclerosis"
1294,"Merck KGaA, Darmstadt, Germany","Relapsing Multiple Sclerosis"
1295,"EMD Serono","Relapsing Multiple Sclerosis"
1296,"Assiut University","Simvastatin Multiple Sclerosis"
1297,"Aristotle University Of Thessaloniki","Progressive Multiple Sclerosis"
1298,"Indiana University","Progressive Multiple Sclerosis"
1299,"University Hospital, Clermont-Ferrand","Progressive Multiple Sclerosis"
1300,"Johns Hopkins University","Progressive Multiple Sclerosis"
1301,"Nantes University Hospital","Progressive Multiple Sclerosis"
1302,"IRCCS San Raffaele","Progressive Multiple Sclerosis"
1303,"Sanofi","Progressive Multiple Sclerosis"
1304,"Genzyme, a Sanofi Company","Progressive Multiple Sclerosis"
1305,"University of Glasgow","Progressive Multiple Sclerosis"
1306,"Genzyme, a Sanofi Company","Progressive Multiple Sclerosis"
1307,"Genzyme, a Sanofi Company","Progressive Multiple Sclerosis"
1308,"North Bristol NHS Trust","Progressive Multiple Sclerosis"
1309,"Anders Svenningsson","Progressive Multiple Sclerosis"
1310,"Rigshospitalet, Denmark","Progressive Multiple Sclerosis"
1311,"Genentech, Inc.","Multiple Sclerosis, Relapsing"
1312,"Hunter College of City University of New York","Multiple Sclerosis, Endurance"
1313,"Cairo University","Multiple Sclerosis in Children"
1314,"University of Glasgow","Multiple Sclerosis, Progressive"
1315,"University Hospital of North Norway","Multiple Sclerosis, Osteoporosis"
1316,"Bristol-Myers Squibb","Multiple Sclerosis (MS)"
1317,"Biogen","Multiple Sclerosis (MS)"
1318,"Novartis Pharmaceuticals","Multiple Sclerosis (MS)"
1319,"University Hospital, Basel, Switzerland","Multiple Sclerosis (MS)"
1320,"Nantes University Hospital","Multiple Sclerosis (MS)"
1321,"GW Pharmaceuticals Ltd.","Multiple Sclerosis (MS)"
1322,"The Hospital for Sick Children","Multiple Sclerosis (MS)"
1323,"Hoffmann-La Roche","Multiple Sclerosis (MS)"
1324,"EMD Serono Research & Development Institute, Inc.","Multiple Sclerosis (MS)"
1325,"AbbVie","Multiple Sclerosis (MS)"
1326,"AbbVie","Multiple Sclerosis (MS)"
1327,"Assistance Publique Hopitaux De Marseille","Multiple Sclerosis (MS)"
1328,"University of California, San Diego","Multiple Sclerosis (MS)"
1329,"University of Texas Southwestern Medical Center","Multiple Sclerosis (MS)"
1330,"University of Texas Southwestern Medical Center","Multiple Sclerosis (MS)"
1331,"Lumos Labs, Inc.","Multiple Sclerosis (MS)"
1332,"Assistance Publique - Hôpitaux de Paris","Multiple Sclerosis (MS)"
1333,"Dimitrios Karussis","Multiple Sclerosis (MS)"
1334,"American University of Beirut Medical Center","Multiple Sclerosis (MS)"
1335,"The University of Texas Health Science Center, Houston","Multiple Sclerosis (MS)"
1336,"Trio Medicines Ltd.","Multiple Sclerosis (MS)"
1337,"University of Texas Southwestern Medical Center","Multiple Sclerosis (MS)"
1338,"Sanofi","Multiple Sclerosis Healthy Subjects"
1339,"Jan Lycke","Multiple Sclerosis, Pharmacokinetics"
1340,"McGill University","Multiple Sclerosis-Relapsing-Remitting"
1341,"Somogy Megyei Kaposi Mór Teaching Hospital","Multiple Sclerosis, Chronic Progressive|Multiple Sclerosis, Primary Progressive"
1342,"Somogy Megyei Kaposi Mór Teaching Hospital","Multiple Sclerosis, Chronic Progressive|Multiple Sclerosis, Primary Progressive"
1343,"Fundació Institut Germans Trias i Pujol","Multiple Sclerosis, Relapsing-Remitting|Multiple Sclerosis, Chronic Progressive"
1344,"Artielle ImmunoTherapeutics","Multiple Sclerosis, Chronic Progressive|Multiple Sclerosis, Relapsing-Remitting"
1345,"Rennes University Hospital","Multiple Sclerosis, Primary Progressive|Multiple Sclerosis, Secondary Progressive"
1346,"National Center of Neurology and Psychiatry, Japan","Multiple Sclerosis, Relapsing-Remitting|Multiple Sclerosis, Secondary Progressive"
1347,"MediciNova","Multiple Sclerosis, Primary Progressive|Multiple Sclerosis, Secondary Progressive"
1348,"University of Louisville","Multiple Sclerosis, Relapsing-remitting|Multiple Sclerosis, Secondary Progressive"
1349,"Opexa Therapeutics, Inc.","Multiple Sclerosis, Relapsing-Remitting|Multiple Sclerosis, Secondary Progressive"
1350,"Biogen","Multiple Sclerosis, Relapsing-Remitting|Relapsing-Remitting Multiple Sclerosis"
1351,"Sheba Medical Center","All Multiple Sclerosis Patients"
1352,"Sheba Medical Center","Relapsing Remitting Multiple Sclerosis|Multiple Sclerosis, Chronic Progressive"
1353,"Innobioscience SpA","Primary Progressive Multiple Sclerosis|Multiple Sclerosis, Secondary Progressive"
1354,"University Hospital, Caen","Relapsing Remitting Multiple Sclerosis|Secondary Progressive Multiple Sclerosis"
1355,"Atara Biotherapeutics","Primary Progressive Multiple Sclerosis|Secondary Progressive Multiple Sclerosis"
1356,"Banc de Sang i Teixits","Relapsing-Remitting Multiple Sclerosis|Secondary Progressive Multiple Sclerosis"
1357,"Johns Hopkins University","Primary Progressive Multiple Sclerosis|Secondary Progressive Multiple Sclerosis"
1358,"Rigshospitalet, Denmark","Primary Progressive Multiple Sclerosis|Secondary Progressive Multiple Sclerosis"
1359,"Imperial College London","Relapsing-remitting Multiple Sclerosis|Secondary Progressive Multiple Sclerosis"
1360,"Biogen","Relapsing-Remitting Multiple Sclerosis|Secondary Progressive Multiple Sclerosis"
1361,"University College Dublin","Secondary Progressive Multiple Sclerosis|Primary Progressive Multiple Sclerosis"
1362,"Innate Immunotherapeutics","Secondary Progressive Multiple Sclerosis|Primary Progressive Multiple Sclerosis"
1363,"Biogen","Relapsing-Remitting Multiple Sclerosis|Relapsing Forms of Multiple Sclerosis"
1364,"Johns Hopkins University","Fatigue in Multiple Sclerosis"
1365,"Kessler Foundation","Fatigue in Multiple Sclerosis"
1366,"Novartis Pharmaceuticals","Fatigue in Multiple Sclerosis"
1367,"Acorda Therapeutics","Multiple Sclerosis, Acute Relapsing"
1368,"MedImmune LLC","Multiple Sclerosis, Relapsing Forms"
1369,"Novartis Pharmaceuticals","Relapsing-remitting Multiple Sclerosis|Active Secondary Progressive Multiple Sclerosis"
1370,"Terry L. Wahls","Multiple Sclerosis, Relapsing-Remitting"
1371,"University of Alabama at Birmingham","Multiple Sclerosis, Relapsing-Remitting"
1372,"Kessler Foundation","Multiple Sclerosis, Relapsing-Remitting"
1373,"RemeGen Co., Ltd.","Multiple Sclerosis, Relapsing-Remitting"
1374,"University Hospital, Caen","Multiple Sclerosis, Relapsing-Remitting"
1375,"Chiara Zecca","Multiple Sclerosis, Relapsing-Remitting"
1376,"Kessler Foundation","Multiple Sclerosis, Relapsing-Remitting"
1377,"South Valley University","Multiple Sclerosis, Primary Progressive"
1378,"Hoffmann-La Roche","Multiple Sclerosis, Primary Progressive"
1379,"Lama Saad El-Din Mahmoud","Multiple Sclerosis, Relapsing-Remitting"
1380,"Wayne State University","Multiple Sclerosis, Relapsing-Remitting"
1381,"University Hospital Muenster","Multiple Sclerosis, Relapsing-Remitting"
1382,"Kessler Foundation","Multiple Sclerosis, Relapsing-Remitting"
1383,"Shirley Ryan AbilityLab","Multiple Sclerosis, Relapsing-Remitting"
1384,"Johns Hopkins University","Multiple Sclerosis, Relapsing-Remitting"
1385,"University of Milano Bicocca","Multiple Sclerosis, Relapsing-Remitting"
1386,"Universitätsklinikum Hamburg-Eppendorf","Multiple Sclerosis, Relapsing-Remitting"
1387,"Biogen","Multiple Sclerosis, Relapsing-Remitting"
1388,"Rennes University Hospital","Multiple Sclerosis, Relapsing-Remitting"
1389,"Mapi Pharma Ltd.","Multiple Sclerosis, Relapsing-Remitting"
1390,"University of Illinois at Urbana-Champaign","Multiple Sclerosis, Relapsing-Remitting"
1391,"Hoffmann-La Roche","Multiple Sclerosis, Primary Progressive"
1392,"Karolinska Institutet","Multiple Sclerosis, Relapsing-Remitting"
1393,"Rush University Medical Center","Multiple Sclerosis, Relapsing-Remitting"
1394,"Biogen","Multiple Sclerosis, Relapsing-Remitting"
1395,"University Hospital, Strasbourg, France","Multiple Sclerosis, Relapsing-Remitting"
1396,"Biogen","Multiple Sclerosis, Relapsing-Remitting"
1397,"Brainstorm-Cell Therapeutics","Multiple Sclerosis, Chronic Progressive"
1398,"University Hospital, Bordeaux","Multiple Sclerosis, Relapsing-Remitting"
1399,"Gazi University","Multiple Sclerosis, Relapsing-Remitting"
1400,"Marquette University","Multiple Sclerosis, Relapsing-Remitting"
1401,"Biogen","Multiple Sclerosis, Relapsing-Remitting"
1402,"Dokuz Eylul University","Multiple Sclerosis, Relapsing-Remitting"
1403,"McGill University","Multiple Sclerosis, Relapsing-Remitting"
1404,"The Cleveland Clinic","Multiple Sclerosis, Relapsing-Remitting"
1405,"Johns Hopkins University","Multiple Sclerosis, Relapsing-Remitting"
1406,"Bezmialem Vakif University","Multiple Sclerosis, Relapsing-Remitting"
1407,"University Hospital, Bordeaux","Multiple Sclerosis, Primary Progressive"
1408,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis, Relapsing-Remitting"
1409,"Biogen","Multiple Sclerosis, Relapsing-Remitting"
1410,"Northwestern University","Multiple Sclerosis, Relapsing-Remitting"
1411,"Bosnalijek D.D","Multiple Sclerosis, Relapsing-Remitting"
1412,"GeNeuro SA","Multiple Sclerosis, Relapsing-Remitting"
1413,"Rennes University Hospital","Multiple Sclerosis, Relapsing-Remitting"
1414,"Mallinckrodt ARD LLC","Multiple Sclerosis, Relapsing-Remitting"
